2017-09-02 14:09:09,639 - Main - INFO - Create Dispatcher
2017-09-02 14:09:09,642 - Main - INFO - Create teststrategy
2017-09-02 14:09:09,643 - Main - INFO - Connect dispacther and teststrategy
2017-09-02 14:09:09,643 - Main - INFO - Loading Data Successfully
2017-09-02 14:09:26,996 - Main - INFO - Begin backtesting : 2013-01-04
2017-09-02 14:09:26,999 - Main.money - INFO - 2013-01-07, 1000000, 0, 1000000
2017-09-02 14:09:27,000 - Main - INFO - Backtesting on : 2013-01-07
2017-09-02 14:09:27,002 - Main.money - INFO - 2013-01-08, 1000000, 0, 1000000
2017-09-02 14:09:27,002 - Main - INFO - Backtesting on : 2013-01-08
2017-09-02 14:09:27,004 - Main.money - INFO - 2013-01-09, 1000000, 0, 1000000
2017-09-02 14:09:27,005 - Main - INFO - Backtesting on : 2013-01-09
2017-09-02 14:09:27,008 - Main.money - INFO - 2013-01-10, 1000000, 0, 1000000
2017-09-02 14:09:27,008 - Main - INFO - Backtesting on : 2013-01-10
2017-09-02 14:09:27,010 - Main.money - INFO - 2013-01-11, 1000000, 0, 1000000
2017-09-02 14:09:27,010 - Main - INFO - Backtesting on : 2013-01-11
2017-09-02 14:09:27,012 - Main.money - INFO - 2013-01-14, 1000000, 0, 1000000
2017-09-02 14:09:27,013 - Main - INFO - Backtesting on : 2013-01-14
2017-09-02 14:09:27,014 - Main.money - INFO - 2013-01-15, 1000000, 0, 1000000
2017-09-02 14:09:27,015 - Main - INFO - Backtesting on : 2013-01-15
2017-09-02 14:09:27,017 - Main.money - INFO - 2013-01-16, 1000000, 0, 1000000
2017-09-02 14:09:27,017 - Main - INFO - Backtesting on : 2013-01-16
2017-09-02 14:09:27,019 - Main.money - INFO - 2013-01-17, 1000000, 0, 1000000
2017-09-02 14:09:27,019 - Main - INFO - Backtesting on : 2013-01-17
2017-09-02 14:09:27,021 - Main.money - INFO - 2013-01-18, 1000000, 0, 1000000
2017-09-02 14:09:27,021 - Main - INFO - Backtesting on : 2013-01-18
2017-09-02 14:09:27,023 - Main.money - INFO - 2013-01-21, 1000000, 0, 1000000
2017-09-02 14:09:27,024 - Main - INFO - Backtesting on : 2013-01-21
2017-09-02 14:09:27,025 - Main.money - INFO - 2013-01-22, 1000000, 0, 1000000
2017-09-02 14:09:27,026 - Main - INFO - Backtesting on : 2013-01-22
2017-09-02 14:09:27,028 - Main.money - INFO - 2013-01-23, 1000000, 0, 1000000
2017-09-02 14:09:27,028 - Main - INFO - Backtesting on : 2013-01-23
2017-09-02 14:09:27,030 - Main.money - INFO - 2013-01-24, 1000000, 0, 1000000
2017-09-02 14:09:27,031 - Main - INFO - Backtesting on : 2013-01-24
2017-09-02 14:09:27,033 - Main.money - INFO - 2013-01-25, 1000000, 0, 1000000
2017-09-02 14:09:27,034 - Main - INFO - Backtesting on : 2013-01-25
2017-09-02 14:09:27,035 - Main.money - INFO - 2013-01-28, 1000000, 0, 1000000
2017-09-02 14:09:27,036 - Main - INFO - Backtesting on : 2013-01-28
2017-09-02 14:09:27,038 - Main.money - INFO - 2013-01-29, 1000000, 0, 1000000
2017-09-02 14:09:27,038 - Main - INFO - Backtesting on : 2013-01-29
2017-09-02 14:09:27,040 - Main.money - INFO - 2013-01-30, 1000000, 0, 1000000
2017-09-02 14:09:27,040 - Main - INFO - Backtesting on : 2013-01-30
2017-09-02 14:09:27,042 - Main.money - INFO - 2013-01-31, 1000000, 0, 1000000
2017-09-02 14:09:27,042 - Main - INFO - Backtesting on : 2013-01-31
2017-09-02 14:09:27,044 - Main.money - INFO - 2013-02-01, 1000000, 0, 1000000
2017-09-02 14:09:27,045 - Main - INFO - Backtesting on : 2013-02-01
2017-09-02 14:09:27,144 - Main.money - INFO - 2013-02-04, 1000000, 0, 1000000
2017-09-02 14:09:27,145 - Main - INFO - Backtesting on : 2013-02-04
2017-09-02 14:09:27,146 - Main.money - INFO - 2013-02-05, 1000000, 0, 1000000
2017-09-02 14:09:27,147 - Main - INFO - Backtesting on : 2013-02-05
2017-09-02 14:09:27,149 - Main.money - INFO - 2013-02-06, 1000000, 0, 1000000
2017-09-02 14:09:27,149 - Main - INFO - Backtesting on : 2013-02-06
2017-09-02 14:09:27,151 - Main.money - INFO - 2013-02-07, 1000000, 0, 1000000
2017-09-02 14:09:27,151 - Main - INFO - Backtesting on : 2013-02-07
2017-09-02 14:09:27,153 - Main.money - INFO - 2013-02-08, 1000000, 0, 1000000
2017-09-02 14:09:27,154 - Main - INFO - Backtesting on : 2013-02-08
2017-09-02 14:09:27,156 - Main.money - INFO - 2013-02-18, 1000000, 0, 1000000
2017-09-02 14:09:27,156 - Main - INFO - Backtesting on : 2013-02-18
2017-09-02 14:09:27,158 - Main.money - INFO - 2013-02-19, 1000000, 0, 1000000
2017-09-02 14:09:27,159 - Main - INFO - Backtesting on : 2013-02-19
2017-09-02 14:09:27,160 - Main.money - INFO - 2013-02-20, 1000000, 0, 1000000
2017-09-02 14:09:27,161 - Main - INFO - Backtesting on : 2013-02-20
2017-09-02 14:09:27,163 - Main.money - INFO - 2013-02-21, 1000000, 0, 1000000
2017-09-02 14:09:27,163 - Main - INFO - Backtesting on : 2013-02-21
2017-09-02 14:09:27,165 - Main.money - INFO - 2013-02-22, 1000000, 0, 1000000
2017-09-02 14:09:27,165 - Main - INFO - Backtesting on : 2013-02-22
2017-09-02 14:09:27,167 - Main.money - INFO - 2013-02-25, 1000000, 0, 1000000
2017-09-02 14:09:27,168 - Main - INFO - Backtesting on : 2013-02-25
2017-09-02 14:09:27,170 - Main.money - INFO - 2013-02-26, 1000000, 0, 1000000
2017-09-02 14:09:27,170 - Main - INFO - Backtesting on : 2013-02-26
2017-09-02 14:09:27,172 - Main.money - INFO - 2013-02-27, 1000000, 0, 1000000
2017-09-02 14:09:27,172 - Main - INFO - Backtesting on : 2013-02-27
2017-09-02 14:09:27,174 - Main.money - INFO - 2013-02-28, 1000000, 0, 1000000
2017-09-02 14:09:27,175 - Main - INFO - Backtesting on : 2013-02-28
2017-09-02 14:09:27,177 - Main.money - INFO - 2013-03-01, 1000000, 0, 1000000
2017-09-02 14:09:27,177 - Main - INFO - Backtesting on : 2013-03-01
2017-09-02 14:09:27,179 - Main.money - INFO - 2013-03-04, 1000000, 0, 1000000
2017-09-02 14:09:27,179 - Main - INFO - Backtesting on : 2013-03-04
2017-09-02 14:09:27,181 - Main.money - INFO - 2013-03-05, 1000000, 0, 1000000
2017-09-02 14:09:27,182 - Main - INFO - Backtesting on : 2013-03-05
2017-09-02 14:09:27,184 - Main.money - INFO - 2013-03-06, 1000000, 0, 1000000
2017-09-02 14:09:27,184 - Main - INFO - Backtesting on : 2013-03-06
2017-09-02 14:09:27,186 - Main.money - INFO - 2013-03-07, 1000000, 0, 1000000
2017-09-02 14:09:27,186 - Main - INFO - Backtesting on : 2013-03-07
2017-09-02 14:09:27,188 - Main.money - INFO - 2013-03-08, 1000000, 0, 1000000
2017-09-02 14:09:27,189 - Main - INFO - Backtesting on : 2013-03-08
2017-09-02 14:09:27,190 - Main.money - INFO - 2013-03-11, 1000000, 0, 1000000
2017-09-02 14:09:27,191 - Main - INFO - Backtesting on : 2013-03-11
2017-09-02 14:09:27,193 - Main.money - INFO - 2013-03-12, 1000000, 0, 1000000
2017-09-02 14:09:27,193 - Main - INFO - Backtesting on : 2013-03-12
2017-09-02 14:09:27,195 - Main.money - INFO - 2013-03-13, 1000000, 0, 1000000
2017-09-02 14:09:27,196 - Main - INFO - Backtesting on : 2013-03-13
2017-09-02 14:09:27,198 - Main.money - INFO - 2013-03-14, 1000000, 0, 1000000
2017-09-02 14:09:27,198 - Main - INFO - Backtesting on : 2013-03-14
2017-09-02 14:09:27,200 - Main.money - INFO - 2013-03-15, 1000000, 0, 1000000
2017-09-02 14:09:27,201 - Main - INFO - Backtesting on : 2013-03-15
2017-09-02 14:09:27,203 - Main.money - INFO - 2013-03-18, 1000000, 0, 1000000
2017-09-02 14:09:27,204 - Main - INFO - Backtesting on : 2013-03-18
2017-09-02 14:09:27,205 - Main.money - INFO - 2013-03-19, 1000000, 0, 1000000
2017-09-02 14:09:27,206 - Main - INFO - Backtesting on : 2013-03-19
2017-09-02 14:09:27,209 - Main.money - INFO - 2013-03-20, 1000000, 0, 1000000
2017-09-02 14:09:27,209 - Main - INFO - Backtesting on : 2013-03-20
2017-09-02 14:09:27,211 - Main.money - INFO - 2013-03-21, 1000000, 0, 1000000
2017-09-02 14:09:27,212 - Main - INFO - Backtesting on : 2013-03-21
2017-09-02 14:09:27,214 - Main.money - INFO - 2013-03-22, 1000000, 0, 1000000
2017-09-02 14:09:27,215 - Main - INFO - Backtesting on : 2013-03-22
2017-09-02 14:09:27,218 - Main.money - INFO - 2013-03-25, 1000000, 0, 1000000
2017-09-02 14:09:27,219 - Main - INFO - Backtesting on : 2013-03-25
2017-09-02 14:09:27,221 - Main.money - INFO - 2013-03-26, 1000000, 0, 1000000
2017-09-02 14:09:27,222 - Main - INFO - Backtesting on : 2013-03-26
2017-09-02 14:09:27,224 - Main.money - INFO - 2013-03-27, 1000000, 0, 1000000
2017-09-02 14:09:27,224 - Main - INFO - Backtesting on : 2013-03-27
2017-09-02 14:09:27,226 - Main.money - INFO - 2013-03-28, 1000000, 0, 1000000
2017-09-02 14:09:27,227 - Main - INFO - Backtesting on : 2013-03-28
2017-09-02 14:09:27,229 - Main.money - INFO - 2013-03-29, 1000000, 0, 1000000
2017-09-02 14:09:27,230 - Main - INFO - Backtesting on : 2013-03-29
2017-09-02 14:09:27,232 - Main.money - INFO - 2013-04-01, 1000000, 0, 1000000
2017-09-02 14:09:27,233 - Main - INFO - Backtesting on : 2013-04-01
2017-09-02 14:09:27,235 - Main.money - INFO - 2013-04-02, 1000000, 0, 1000000
2017-09-02 14:09:27,235 - Main - INFO - Backtesting on : 2013-04-02
2017-09-02 14:09:27,238 - Main.money - INFO - 2013-04-03, 1000000, 0, 1000000
2017-09-02 14:09:27,238 - Main - INFO - Backtesting on : 2013-04-03
2017-09-02 14:09:27,241 - Main.money - INFO - 2013-04-08, 1000000, 0, 1000000
2017-09-02 14:09:27,241 - Main - INFO - Backtesting on : 2013-04-08
2017-09-02 14:09:27,245 - Main.money - INFO - 2013-04-09, 1000000, 0, 1000000
2017-09-02 14:09:27,245 - Main - INFO - Backtesting on : 2013-04-09
2017-09-02 14:09:27,247 - Main.money - INFO - 2013-04-10, 1000000, 0, 1000000
2017-09-02 14:09:27,248 - Main - INFO - Backtesting on : 2013-04-10
2017-09-02 14:09:27,250 - Main.money - INFO - 2013-04-11, 1000000, 0, 1000000
2017-09-02 14:09:27,251 - Main - INFO - Backtesting on : 2013-04-11
2017-09-02 14:09:27,253 - Main.money - INFO - 2013-04-12, 1000000, 0, 1000000
2017-09-02 14:09:27,253 - Main - INFO - Backtesting on : 2013-04-12
2017-09-02 14:09:27,256 - Main.money - INFO - 2013-04-15, 1000000, 0, 1000000
2017-09-02 14:09:27,256 - Main - INFO - Backtesting on : 2013-04-15
2017-09-02 14:09:27,258 - Main.money - INFO - 2013-04-16, 1000000, 0, 1000000
2017-09-02 14:09:27,258 - Main - INFO - Backtesting on : 2013-04-16
2017-09-02 14:09:27,261 - Main.money - INFO - 2013-04-17, 1000000, 0, 1000000
2017-09-02 14:09:27,262 - Main - INFO - Backtesting on : 2013-04-17
2017-09-02 14:09:27,265 - Main.money - INFO - 2013-04-18, 1000000, 0, 1000000
2017-09-02 14:09:27,266 - Main - INFO - Backtesting on : 2013-04-18
2017-09-02 14:09:27,268 - Main.money - INFO - 2013-04-19, 1000000, 0, 1000000
2017-09-02 14:09:27,269 - Main - INFO - Backtesting on : 2013-04-19
2017-09-02 14:09:27,271 - Main.money - INFO - 2013-04-22, 1000000, 0, 1000000
2017-09-02 14:09:27,272 - Main - INFO - Backtesting on : 2013-04-22
2017-09-02 14:09:27,274 - Main.money - INFO - 2013-04-23, 1000000, 0, 1000000
2017-09-02 14:09:27,275 - Main - INFO - Backtesting on : 2013-04-23
2017-09-02 14:09:27,277 - Main.money - INFO - 2013-04-24, 1000000, 0, 1000000
2017-09-02 14:09:27,277 - Main - INFO - Backtesting on : 2013-04-24
2017-09-02 14:09:27,280 - Main.money - INFO - 2013-04-25, 1000000, 0, 1000000
2017-09-02 14:09:27,281 - Main - INFO - Backtesting on : 2013-04-25
2017-09-02 14:09:27,283 - Main.money - INFO - 2013-04-26, 1000000, 0, 1000000
2017-09-02 14:09:27,283 - Main - INFO - Backtesting on : 2013-04-26
2017-09-02 14:09:27,285 - Main.money - INFO - 2013-05-02, 1000000, 0, 1000000
2017-09-02 14:09:27,286 - Main - INFO - Backtesting on : 2013-05-02
2017-09-02 14:09:27,288 - Main.money - INFO - 2013-05-03, 1000000, 0, 1000000
2017-09-02 14:09:27,289 - Main - INFO - Backtesting on : 2013-05-03
2017-09-02 14:09:27,291 - Main.money - INFO - 2013-05-06, 1000000, 0, 1000000
2017-09-02 14:09:27,292 - Main - INFO - Backtesting on : 2013-05-06
2017-09-02 14:09:27,295 - Main.money - INFO - 2013-05-07, 1000000, 0, 1000000
2017-09-02 14:09:27,296 - Main - INFO - Backtesting on : 2013-05-07
2017-09-02 14:09:27,298 - Main.money - INFO - 2013-05-08, 1000000, 0, 1000000
2017-09-02 14:09:27,299 - Main - INFO - Backtesting on : 2013-05-08
2017-09-02 14:09:27,301 - Main.money - INFO - 2013-05-09, 1000000, 0, 1000000
2017-09-02 14:09:27,301 - Main - INFO - Backtesting on : 2013-05-09
2017-09-02 14:09:27,304 - Main.money - INFO - 2013-05-10, 1000000, 0, 1000000
2017-09-02 14:09:27,304 - Main - INFO - Backtesting on : 2013-05-10
2017-09-02 14:09:27,306 - Main.money - INFO - 2013-05-13, 1000000, 0, 1000000
2017-09-02 14:09:27,306 - Main - INFO - Backtesting on : 2013-05-13
2017-09-02 14:09:27,308 - Main.money - INFO - 2013-05-14, 1000000, 0, 1000000
2017-09-02 14:09:27,309 - Main - INFO - Backtesting on : 2013-05-14
2017-09-02 14:09:27,311 - Main.money - INFO - 2013-05-15, 1000000, 0, 1000000
2017-09-02 14:09:27,312 - Main - INFO - Backtesting on : 2013-05-15
2017-09-02 14:09:27,314 - Main.money - INFO - 2013-05-16, 1000000, 0, 1000000
2017-09-02 14:09:27,315 - Main - INFO - Backtesting on : 2013-05-16
2017-09-02 14:09:27,317 - Main.money - INFO - 2013-05-17, 1000000, 0, 1000000
2017-09-02 14:09:27,317 - Main - INFO - Backtesting on : 2013-05-17
2017-09-02 14:09:27,319 - Main.money - INFO - 2013-05-20, 1000000, 0, 1000000
2017-09-02 14:09:27,320 - Main - INFO - Backtesting on : 2013-05-20
2017-09-02 14:09:27,322 - Main.money - INFO - 2013-05-21, 1000000, 0, 1000000
2017-09-02 14:09:27,322 - Main - INFO - Backtesting on : 2013-05-21
2017-09-02 14:09:27,324 - Main.money - INFO - 2013-05-22, 1000000, 0, 1000000
2017-09-02 14:09:27,325 - Main - INFO - Backtesting on : 2013-05-22
2017-09-02 14:09:27,328 - Main.money - INFO - 2013-05-23, 1000000, 0, 1000000
2017-09-02 14:09:27,329 - Main - INFO - Backtesting on : 2013-05-23
2017-09-02 14:09:27,330 - Main.money - INFO - 2013-05-24, 1000000, 0, 1000000
2017-09-02 14:09:27,331 - Main - INFO - Backtesting on : 2013-05-24
2017-09-02 14:09:27,332 - Main.money - INFO - 2013-05-27, 1000000, 0, 1000000
2017-09-02 14:09:27,333 - Main - INFO - Backtesting on : 2013-05-27
2017-09-02 14:09:27,335 - Main.money - INFO - 2013-05-28, 1000000, 0, 1000000
2017-09-02 14:09:27,335 - Main - INFO - Backtesting on : 2013-05-28
2017-09-02 14:09:27,338 - Main.money - INFO - 2013-05-29, 1000000, 0, 1000000
2017-09-02 14:09:27,338 - Main - INFO - Backtesting on : 2013-05-29
2017-09-02 14:09:27,340 - Main.money - INFO - 2013-05-30, 1000000, 0, 1000000
2017-09-02 14:09:27,340 - Main - INFO - Backtesting on : 2013-05-30
2017-09-02 14:09:27,342 - Main.money - INFO - 2013-05-31, 1000000, 0, 1000000
2017-09-02 14:09:27,343 - Main - INFO - Backtesting on : 2013-05-31
2017-09-02 14:09:27,345 - Main.money - INFO - 2013-06-03, 1000000, 0, 1000000
2017-09-02 14:09:27,346 - Main - INFO - Backtesting on : 2013-06-03
2017-09-02 14:09:27,348 - Main.money - INFO - 2013-06-04, 1000000, 0, 1000000
2017-09-02 14:09:27,348 - Main - INFO - Backtesting on : 2013-06-04
2017-09-02 14:09:27,350 - Main.money - INFO - 2013-06-05, 1000000, 0, 1000000
2017-09-02 14:09:27,350 - Main - INFO - Backtesting on : 2013-06-05
2017-09-02 14:09:27,352 - Main.money - INFO - 2013-06-06, 1000000, 0, 1000000
2017-09-02 14:09:27,353 - Main - INFO - Backtesting on : 2013-06-06
2017-09-02 14:09:27,355 - Main.money - INFO - 2013-06-07, 1000000, 0, 1000000
2017-09-02 14:09:27,355 - Main - INFO - Backtesting on : 2013-06-07
2017-09-02 14:09:27,358 - Main.money - INFO - 2013-06-13, 1000000, 0, 1000000
2017-09-02 14:09:27,358 - Main - INFO - Backtesting on : 2013-06-13
2017-09-02 14:09:27,361 - Main.money - INFO - 2013-06-14, 1000000, 0, 1000000
2017-09-02 14:09:27,361 - Main - INFO - Backtesting on : 2013-06-14
2017-09-02 14:09:27,363 - Main.money - INFO - 2013-06-17, 1000000, 0, 1000000
2017-09-02 14:09:27,364 - Main - INFO - Backtesting on : 2013-06-17
2017-09-02 14:09:27,366 - Main.money - INFO - 2013-06-18, 1000000, 0, 1000000
2017-09-02 14:09:27,366 - Main - INFO - Backtesting on : 2013-06-18
2017-09-02 14:09:27,369 - Main.money - INFO - 2013-06-19, 1000000, 0, 1000000
2017-09-02 14:09:27,369 - Main - INFO - Backtesting on : 2013-06-19
2017-09-02 14:09:27,372 - Main.money - INFO - 2013-06-20, 1000000, 0, 1000000
2017-09-02 14:09:27,373 - Main - INFO - Backtesting on : 2013-06-20
2017-09-02 14:09:27,375 - Main.money - INFO - 2013-06-21, 1000000, 0, 1000000
2017-09-02 14:09:27,376 - Main - INFO - Backtesting on : 2013-06-21
2017-09-02 14:09:27,378 - Main.money - INFO - 2013-06-24, 1000000, 0, 1000000
2017-09-02 14:09:27,379 - Main - INFO - Backtesting on : 2013-06-24
2017-09-02 14:09:27,381 - Main.money - INFO - 2013-06-25, 1000000, 0, 1000000
2017-09-02 14:09:27,382 - Main - INFO - Backtesting on : 2013-06-25
2017-09-02 14:09:27,384 - Main.money - INFO - 2013-06-26, 1000000, 0, 1000000
2017-09-02 14:09:27,385 - Main - INFO - Backtesting on : 2013-06-26
2017-09-02 14:09:27,387 - Main.money - INFO - 2013-06-27, 1000000, 0, 1000000
2017-09-02 14:09:27,387 - Main - INFO - Backtesting on : 2013-06-27
2017-09-02 14:09:27,390 - Main.money - INFO - 2013-06-28, 1000000, 0, 1000000
2017-09-02 14:09:27,391 - Main - INFO - Backtesting on : 2013-06-28
2017-09-02 14:09:27,393 - Main.money - INFO - 2013-07-01, 1000000, 0, 1000000
2017-09-02 14:09:27,394 - Main - INFO - Backtesting on : 2013-07-01
2017-09-02 14:09:27,396 - Main.money - INFO - 2013-07-02, 1000000, 0, 1000000
2017-09-02 14:09:27,396 - Main - INFO - Backtesting on : 2013-07-02
2017-09-02 14:09:27,399 - Main.money - INFO - 2013-07-03, 1000000, 0, 1000000
2017-09-02 14:09:27,399 - Main - INFO - Backtesting on : 2013-07-03
2017-09-02 14:09:27,402 - Main.money - INFO - 2013-07-04, 1000000, 0, 1000000
2017-09-02 14:09:27,402 - Main - INFO - Backtesting on : 2013-07-04
2017-09-02 14:09:27,404 - Main.money - INFO - 2013-07-05, 1000000, 0, 1000000
2017-09-02 14:09:27,405 - Main - INFO - Backtesting on : 2013-07-05
2017-09-02 14:09:27,408 - Main.money - INFO - 2013-07-08, 1000000, 0, 1000000
2017-09-02 14:09:27,408 - Main - INFO - Backtesting on : 2013-07-08
